roadsegid,party_time_rate,work_time_rate,pw_ratio
232,2268,2303,-0.00765696784073507
235,2261,2261,0
236,1170.42857142857,1170.42857142857,0
237,3680.57142857143,3433.71428571429,0.0346987951807229
239,3996,3377.85714285714,0.0838289710754209
240,6192.57142857143,6236.85714285714,-0.00356297266855163
241,2226.85714285714,2226.85714285714,0
242,934.142857142857,1011,-0.0395123384253819
243,204.714285714286,299.428571428571,-0.187871918390479
244,281.428571428571,281.428571428571,0
248,2.42857142857143,38,-0.879858657243816
249,1126.42857142857,1126.42857142857,0
252,486.428571428571,489.571428571429,-0.00322014051522245
260,20,20.1428571428571,-0.00355871886120995
265,174,174,0
266,33.8571428571429,75,-0.377952755905512
268,596.571428571429,596.571428571429,0
272,919.142857142857,978.857142857143,-0.0314616889959356
333,660.857142857143,585,0.0608875128998968
525,902.285714285714,902.285714285714,0
526,2261.28571428571,2261.28571428571,0
527,6240.57142857143,5325.28571428571,0.0791368683687207
528,2267.42857142857,1845.57142857143,0.102566774339203
529,2889.57142857143,3002.42857142857,-0.0191543012316943
536,1733.85714285714,1733.85714285714,0
539,274.285714285714,274.285714285714,0
543,167.142857142857,184.857142857143,-0.0503246753246753
552,28.5714285714286,28.5714285714286,0
553,2882.85714285714,2882.85714285714,0
598,37.8571428571429,48.8571428571429,-0.126853377265239
721,690.857142857143,730.428571428571,-0.0278419941702684
834,492.571428571429,492.571428571429,0
836,551.857142857143,587.428571428571,-0.0312225705329153
837,9020,9020,0
838,4089.14285714286,4089.14285714286,0
840,1548.71428571429,1730.85714285714,-0.0555386156727795
841,3518.85714285714,3518.85714285714,0
842,2898.28571428571,3049.42857142857,-0.0254119229475909
843,69,79,-0.0675675675675676
844,46.7142857142857,47.7142857142857,-0.010590015128593
848,210.571428571429,280.428571428571,-0.142275240034914
849,519.714285714286,587.857142857143,-0.0615245711337548
850,3900,4911.14285714286,-0.114757287849801
854,97,126.571428571429,-0.132268370607029
861,86.7142857142857,86.7142857142857,0
866,198.428571428571,198.428571428571,0
1173,712.285714285714,586,0.0972711267605634
1176,3716.28571428571,3716.28571428571,0
1177,944.428571428571,944.428571428571,0
1178,946.142857142857,1077.71428571429,-0.0650102350532929
1179,2681.28571428571,2681.28571428571,0
1192,166.714285714286,166.714285714286,0
1193,28.2857142857143,29.1428571428571,-0.0149253731343284
1195,512.428571428571,521.142857142857,-0.00843123704215614
1196,331.714285714286,331.714285714286,0
1200,57.8571428571429,58.8571428571429,-0.00856793145654835
1201,593,636,-0.0349877949552482
1204,1210.57142857143,1210.57142857143,0
1207,687.714285714286,687.714285714286,0
1453,9108.85714285714,8991.28571428571,0.00649560776947306
1456,2076.71428571429,2094.14285714286,-0.00417865461022061
1458,6126.28571428571,6126.28571428571,0
1459,7219.42857142857,7256.71428571429,-0.00257566636732354
1460,299.285714285714,263.857142857143,0.062912227295789
1465,150.714285714286,150.714285714286,0
1474,414.571428571429,414.571428571429,0
1475,475.571428571429,606.714285714286,-0.12117212249208
1478,211,238.285714285714,-0.060731319554849
1481,318.285714285714,318.285714285714,0
1486,533.714285714286,533.714285714286,0
1487,532.571428571429,443.714285714286,0.0910155106818847
1489,167.428571428571,182.714285714286,-0.043655650754794
1639,7741.14285714286,7679.71428571429,0.00398347321809054
1640,393.142857142857,487.285714285714,-0.10692844393964
1642,4390.28571428571,4087.71428571429,0.0356890102113032
1643,1367.57142857143,1257.71428571429,0.0418457854927355
1644,781.285714285714,797.142857142857,-0.0100461580233505
1646,1435,1657.85714285714,-0.0720554272517321
1647,2287.85714285714,1897,0.0933979654536765
1649,1705,1624.42857142857,0.0241997768814898
1650,15668.5714285714,15668.5714285714,0
1651,3727.71428571429,3727.71428571429,0
1652,4865.71428571429,4865.71428571429,0
1653,6340.42857142857,6340.42857142857,0
1654,900.428571428571,960.142857142857,-0.0320945945945946
1655,639.428571428571,639.428571428571,0
1656,444.285714285714,501.285714285714,-0.0602810092158936
1657,35.1428571428571,35.1428571428571,0
1658,2888,4220,-0.187394485087226
1659,3689.42857142857,3695,-0.0007544833723472
1664,161.857142857143,224.571428571429,-0.162292051756007
1667,14.2857142857143,16.2857142857143,-0.0654205607476635
1669,68.8571428571429,75.2857142857143,-0.0445986124876115
1672,8,6,0.142857142857143
1675,105.714285714286,113.857142857143,-0.037085230969421
1678,100,158.857142857143,-0.227373068432671
1686,979.142857142857,963.428571428571,0.00808942491542872
1815,3116.42857142857,3116.42857142857,0
1816,6039,4831.14285714286,0.111116952070547
